<<<<<<< HEAD
Selection of zonal-annual-mean climate variables from ERA5 

 Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)
-86.5	231.13791618254916	1.7343873408481045e-06	1.73841460922214e-06	5.932728682477277e-08	173.0969798515265	-122.57369086639947	130.7145199418723	109.26801192262946	-149.33661866005045	112.8555924256314	157.98552842414776
-86.25	231.57783561510126	1.8343634741746832e-06	1.8384603616836072e-06	6.063318711949183e-08	173.19958654227963	-122.57888247774285	130.69692676938232	109.25857928321501	-149.61644574831104	113.58767333751696	158.44936928518456
-86.0	232.0777834259314	2.0296479155013417e-06	2.0334803380517267e-06	6.473412489774738e-08	173.3104270777457	-122.5630620716934	130.63860455477345	109.21659967222327	-150.00916014931238	114.59494003567838	159.22187558322548
-85.75	232.76263101749342	2.2361933991918544e-06	2.2402530082428212e-06	4.436207058546288e-08	173.42775887310538	-122.50957121138991	130.58219441032804	109.176836178209	-150.7617925202877	116.05420802332459	161.09395377129684
-85.5	233.54346299999875	2.327227176291071e-06	2.331421995470275e-06	-4.9249109921718666e-08	173.55254243924702	-122.42649720581598	130.509748202473	109.12460719997236	-151.77802690519394	117.84538294347317	163.79533545242816
-85.25	234.14396229803504	2.2715739898940547e-06	2.275295420012669e-06	-2.0410684826124772e-07	173.6848651552855	-122.34190032795117	130.35730224317612	109.00766546210382	-152.56935494752938	119.48255559008669	165.7136960551806
-85.0	234.56578409179247	2.140445619707332e-06	2.1442127942739565e-06	-2.436000652375176e-07	173.82325773096696	-122.27439204817553	130.02092743352657	108.74121651089776	-153.15982599646722	120.81060581359577	166.72996682572196
-84.75	235.065957042906	2.129366655025152e-06	2.133286094282062e-06	-2.1447458974706727e-07	173.9703815614925	-122.2270378312227	129.68064819711645	108.47167686576769	-154.08091065039784	122.15436813830024	168.58735683571987
-84.5	235.4772890280958	2.1661181977929234e-06	2.170119206643728e-06	-1.8169417547503705e-07	174.12440819618547	-122.20732076513907	129.56066844709449	108.38124839358021	-154.81496169954002	123.15106598555319	169.96350675246254
-84.25	235.62276539548424	2.1594762658171878e-06	2.1634899714102734e-06	-1.2750584147044566e-07	174.28574921002397	-122.21470780194885	129.6972136917064	108.49966859679176	-155.23509451291955	123.76627867465758	170.5618157807149
-84.0	235.63025822082184	2.113480530789666e-06	2.117479609738676e-06	-7.42528783007823e-08	174.45422156162417	-122.24567856638556	129.93041763517581	108.69678672628139	-155.47912899052224	124.16508870296266	170.76343688660577
-83.75	235.64875608197318	2.0855273147087882e-06	2.089285546007676e-06	-4.497006987593168e-08	174.6301596783593	-122.2927402256435	130.04873471184257	108.80034733484094	-155.7488632064201	124.60798432513543	171.07954903685547
-83.5	235.7003715898194	2.0668369916155684e-06	2.070776746426111e-06	-3.0805603824931555e-08	174.81300913352624	-122.35108788949852	130.0372145301634	108.79792882594458	-156.02299021993358	125.10485810202796	171.4232171077985
-83.25	235.80766141129135	2.0636147833563976e-06	2.0676799046459466e-06	-1.7512264366145125e-08	175.00345054885022	-122.41923652756921	129.99576892440163	108.77150326886327	-156.28828708104027	125.63682554457579	171.78684073029743
-83.0	235.9628733050214	2.0700239976730598e-06	2.0739883175138655e-06	-2.082280387962067e-09	175.20135729904072	-122.48998627896286	129.9810683663815	108.76794732833748	-156.57861614298562	126.25059460956086	172.26056201106618
-82.75	235.9835793204933	2.06400607176624e-06	2.0677813117162388e-06	1.22191836517291e-08	175.4059995546016	-122.56305248374372	130.0123798789217	108.80205717034283	-156.70452507611998	126.8296226058608	172.37779874569654
-82.5	235.94957028962196	2.032989925594927e-06	2.0367871999053986e-06	1.9554997213751608e-08	175.61806088935018	-122.65185763028124	130.065684503969	108.85421343607037	-156.83384329184415	127.3724320675934	172.5479035728151
-82.25	235.99151173309423	2.0112658316033995e-06	2.0152414206877875e-06	2.1411707615409752e-08	175.838932445203	-122.77377617794167	130.12229079019636	108.9091825251762	-156.96299188678378	127.74354412457399	172.719823284113
-82.0	236.11082584028983	1.9962064645743732e-06	2.000368987687278e-06	2.226264847107589e-08	176.06767924891724	-122.91622197216515	130.2061357931931	108.98593472675306	-157.15123187519205	128.0529670847927	173.04902942246585
-81.75	236.22093172069782	1.987861949494088e-06	1.9920674745783163e-06	2.176573621745958e-08	176.30273007116824	-123.06875958755514	130.34135417059085	109.10515650734673	-157.34455244616257	128.31678179852614	173.42643785698948
-81.5	236.2268848774755	1.9831706705510653e-06	1.9873209502479257e-06	2.6172797638275676e-08	176.5459689136123	-123.22964084634857	130.5386392465324	109.27537318567911	-157.43044459817378	128.50057547309095	173.58952759100958
-81.25	236.1196797466566	1.983351692967308e-06	1.987764383135023e-06	3.657202054146953e-08	176.79624259483256	-123.39798056084031	130.76853493832078	109.4722959477248	-157.34801681720984	128.60325047789618	173.37448303565952
-81.0	235.98164249952288	1.9866359950567554e-06	1.9913293666122417e-06	4.898901174952204e-08	177.05427277985686	-123.57859430976954	130.9710257675533	109.64698535179106	-157.18067300552235	128.68229161875763	172.93958342180028
-80.75	235.93609192635793	2.0126993416549096e-06	2.0172777478346027e-06	5.772700246595657e-08	177.3192909569222	-123.77257398531003	131.10798826041128	109.76788659295886	-157.10574827378812	128.85131139392044	172.70558363909808
-80.5	235.99923879580925	2.0786030907275673e-06	2.083153742569148e-06	5.6927359869317454e-08	177.59167262256497	-123.97342349741203	131.23397338475448	109.87997598637483	-157.1870653766791	129.1457981205352	172.89393381680478
-80.25	236.04089967512368	2.153634961077554e-06	2.1580043458047176e-06	4.172613107134178e-08	177.87437446299728	-124.17575483133481	131.41388353461272	110.03665892222347	-157.31542649749753	129.53908803695595	173.30243302645027
-80.0	235.9404510348065	2.2205242142444598e-06	2.224906836672448e-06	5.2791974605740166e-08	178.16331714859228	-124.3744292495986	131.6553855718697	110.24457132322709	-157.22399810304682	129.86776382783154	173.09207926719267
-79.75	235.97269686190677	2.3182350541020285e-06	2.322725579420589e-06	6.309723884769096e-08	178.46017284007962	-124.57887051796178	131.88502706102975	110.4435168838649	-157.2159280136761	130.29628798915078	173.14995663608352
-79.5	236.1183080253018	2.4664363456429677e-06	2.470746300619171e-06	6.681539183294685e-08	178.76476750171253	-124.79568307760779	132.00391501811436	110.5517629564286	-157.31207730534211	130.84122612356296	173.4822295840879
-79.25	236.28601792441918	2.6718837225318857e-06	2.6760989885753135e-06	6.400208046115714e-08	179.07766523431508	-125.02519486202421	132.07051455242222	110.6171726254695	-157.4800818429533	131.45178076447752	173.97081939697856
-79.0	236.4771588913533	2.9178075927734002e-06	2.922053997897822e-06	5.6035978218582714e-08	179.39793029172543	-125.26691804817092	132.17475278482306	110.7135644400732	-157.67292531610602	132.06283318147064	174.54380699076177
-78.75	236.68178628563643	3.1678795617467634e-06	3.1720526499701693e-06	5.019155606694059e-08	179.72647511891822	-125.52335738119618	132.36517434632975	110.87997437982544	-157.83072684734285	132.61454363290295	175.06802213760582
-78.5	236.8386193862759	3.3936575964014323e-06	3.3975460321070177e-06	3.722984756782338e-08	180.06263177935952	-125.70193512652708	132.5909625836158	110.9754119296275	-157.9126681767476	133.10994070088242	175.40559372810054
-78.25	237.0338773484497	3.711609664251362e-06	3.7149841006400947e-06	-7.102447741113255e-08	180.4072946531665	-125.4445953427557	132.62026964565118	110.42919417821494	-158.10380270448522	133.7868034862374	176.1713880378027
-78.0	237.51056765841815	4.1854295444202675e-06	4.187844791921503e-06	-5.048898511421793e-07	180.76035786577162	-123.83308369534285	131.75853492810222	107.65575920348064	-158.81791011163872	135.1047516254983	178.5991994754808
-77.75	237.99897754770276	4.457269813826003e-06	4.45914837621057e-06	-7.494463218410214e-07	181.121738409484	-122.96958526300845	131.34184870981048	106.07456122862904	-159.49395719961151	136.45904649814972	180.70906658701506
-77.5	238.3029572635544	4.599164529789538e-06	4.60067960161743e-06	-8.663927353244269e-07	181.4910492160673	-122.78409224386107	131.4018501495571	105.62476620854767	-159.92213027318627	137.55430153941433	181.96774266651045
-77.25	238.6233409992352	4.7456772221233414e-06	4.745957502012666e-06	-1.0596158355250051e-06	181.868671198678	-122.13635195928437	131.35119789527732	104.58341636188574	-160.44507068031226	138.6048283025321	183.55621663665866
-77.0	238.95563600198463	4.9298806758720334e-06	4.928718227438512e-06	-1.2034990411785647e-06	182.25494543577608	-121.48458074080324	131.2903681776717	103.53448821022971	-160.9645852641573	139.6641412727607	185.08857772181472
-76.75	239.2973663286167	5.261322372425389e-06	5.2593974923802295e-06	-1.2379206547436776e-06	182.64965358112815	-121.34944157216503	131.2050391130206	103.04182603707102	-161.4592165028045	140.9209662279876	186.36224904554356
-76.5	239.7303497930896	5.844042098851421e-06	5.841376343932508e-06	-1.2698120960697747e-06	183.05266392055427	-121.4680659720256	130.9183890954736	102.67640945205159	-162.0739766237613	142.53339582978356	187.8581958710532
-76.25	240.26749285473517	6.587543039823767e-06	6.5838043716515185e-06	-1.3374286257499834e-06	183.4646127390921	-121.45940747782454	130.51532462192088	102.08862075086071	-162.80882989707004	144.32333690185786	189.7582228254265
-76.0	240.8332525280817	7.253376586648049e-06	7.248192258662078e-06	-1.3927193047962232e-06	183.88418515996236	-121.50272256080748	130.33573496733533	101.7603520653886	-163.4743251952622	146.03747168879	191.5571038932318
-75.75	241.38003129964713	7.576287518121666e-06	7.569232117069086e-06	-1.4011625951943762e-06	184.31367867320037	-121.76351526970772	130.48825570042715	101.94509313686301	-164.06998994194166	147.60644290502208	193.2576339185372
-75.5	241.8519481047579	7.747458558918641e-06	7.738436322770458e-06	-1.4812648359131641e-06	184.7522542577096	-121.95772680915995	130.60278691708893	102.01211959718292	-164.66267231438454	149.15443031423072	194.91734261607763
-75.25	242.42931069059534	7.912499163841837e-06	7.90119588887359e-06	-1.7011314517609794e-06	185.1996963289397	-121.54105087369412	130.25737595743783	101.00548056347596	-165.42310527747188	150.82946666372135	197.0234669188374
-75.0	242.96122042397138	7.98438862541204e-06	7.968525679830517e-06	-1.793434497140267e-06	185.65548723789365	-121.46517345394294	130.0414183296479	100.45844819236643	-166.089458406771	152.45152515788334	198.76952922881182
-74.75	243.37850662343885	8.03000167274989e-06	8.01013611979039e-06	-1.7885944909532272e-06	186.1213199805774	-121.5472382508464	129.97109653362529	100.18993266146931	-166.62754978716345	153.97894591164885	200.07120335066202
-74.5	243.7511657863868	8.207929068211642e-06	8.18515069688782e-06	-1.7531462099472554e-06	186.5950038388825	-121.62233366116064	129.9830665416427	99.96940587494178	-167.16401133687853	155.4799757764165	201.2871232477673
-74.25	244.19618570086547	8.57024635368803e-06	8.542972109226575e-06	-1.7652173987572484e-06	187.07851788014742	-121.53888625592214	129.96627785525067	99.54590456606962	-167.82206514810488	157.07751953989649	202.89630982958357
-74.0	244.7698184147296	9.005192579442433e-06	8.971964095872574e-06	-1.874648318980232e-06	187.57131737376707	-121.2241029644962	129.73453768447433	98.69599748666649	-168.5943552765452	158.88964136845465	204.98970627704227
-73.75	245.38220495184757	9.500610926483568e-06	9.45915608382106e-06	-1.9753206328963598e-06	188.07331844308445	-121.01933841819525	129.2356539930884	97.74309701608084	-169.37772957793126	160.9063737687786	207.067805802173
-73.5	245.91806501030004	9.829066615957756e-06	9.780642911907132e-06	-2.0140823552458843e-06	188.58617186695724	-121.09949872848779	128.86560436925612	97.21128931505437	-170.05866363171268	162.89040651488992	208.75532339712234
-73.25	246.47605402423557	9.792159408598572e-06	9.738508382174385e-06	-2.0189469571909808e-06	189.1085400941867	-121.42456443952113	128.85832598662276	97.24246805519955	-170.772564774526	164.70254078983297	210.4853663828723
-73.0	246.93098701092202	9.558337832566437e-06	9.495805339004515e-06	-2.0123352835954705e-06	189.6410771705686	-121.71354817968147	129.07659090844132	97.41497969563413	-171.45158842592912	166.3051727200939	212.07277051535
-72.75	247.48049628948155	9.424322719383055e-06	9.353110894338281e-06	-2.0710535074492446e-06	190.18404634747182	-121.57956069666363	129.11850533955715	96.98824800119733	-172.25413651897023	168.04440772375554	214.02937186425737
-72.5	248.14354710201303	9.480770946327245e-06	9.399969385607755e-06	-2.170347088710128e-06	190.73627380069408	-121.36297612026148	128.839540217709	96.21307839650083	-173.16186226324413	170.1756717921836	216.2427100978774
-72.25	248.83613296094603	9.65871823653695e-06	9.569456901845486e-06	-2.2387437940963315e-06	191.29882948331044	-121.35874137029585	128.43428800014956	95.57331419204651	-174.05372170472447	172.60290404995968	218.38363352978865
-72.0	249.52927572643028	9.855332814918104e-06	9.758590805986243e-06	-2.3020373693192125e-06	191.87215916177337	-121.50760663292164	128.11012069091643	95.16959091251728	-174.91114136112287	175.10852732530745	220.50138979692662
-71.75	250.27154974572977	1.004199640188122e-05	9.9361543709748e-06	-2.4575017251368915e-06	192.45590592519503	-121.40243115652888	127.781438730732	94.48265821318397	-175.92567439589232	177.67235456401093	223.19482029173716
-71.5	250.97736285436073	1.018595756511794e-05	1.0069674822695073e-05	-2.5761999967874476e-06	193.05082789201066	-121.42359660201117	127.69882023912574	94.13837167919499	-176.91300768953528	180.1125249294723	225.7167577617825
-71.25	251.61478848796366	1.0451438316638302e-05	1.0326687134437918e-05	-2.666848461232901e-06	193.65689231179087	-121.45251413973529	127.59071448934151	93.77626318373379	-177.81437816800798	182.52036894646864	227.97679274573562
-71.0	252.16417949714847	1.0702648197339454e-05	1.0573093513018435e-05	-2.77820605908889e-06	194.27388020016255	-121.41243188694358	127.05912271259557	92.98111558129638	-178.674205644968	185.02544486197422	230.10101279602225
-70.75	252.71139270396603	1.1038616311025126e-05	1.090058122284481e-05	-2.809692653200733e-06	194.9028639015329	-121.40204202548954	126.5180750411355	92.19094201183664	-179.46751563805054	187.5453337438985	232.11863762125503
-70.5	253.27941211580168	1.1410300500495492e-05	1.1258522223673774e-05	-2.8741504284077025e-06	195.54464027046762	-121.0279399589119	126.02611890066223	91.0110855553359	-180.3086405325167	190.11785700054259	234.38726935933207
-70.25	253.8876428379095	1.1889489983113884e-05	1.1724467352089647e-05	-2.98854091813134e-06	196.19655868888216	-120.52499391855373	125.66093724585124	89.74041197279843	-181.2188860787218	192.7266242279515	236.88918434587143
-70.0	254.59445641003524	1.2498394717369119e-05	1.2322918160923666e-05	-3.3201432274747967e-06	196.862080173662	-118.94633276315184	124.83033694890476	86.87935029666791	-182.24590544884256	195.44997522430575	239.92360368098662
-69.75	255.35584108475527	1.3149826943326828e-05	1.2961279890006534e-05	-3.72091868834447e-06	197.54064361699193	-116.86480712303366	123.57356771413824	83.11678917766552	-183.3236116993906	198.27504736408184	243.20977853770597
-69.5	256.027584145193	1.370967225851917e-05	1.3500788739743866e-05	-3.796963328553534e-06	198.2304298113554	-116.42628364973189	122.7932258545128	81.54487704542017	-184.24214514413316	201.01766934734638	245.72912827652698
-69.25	256.6741221206426	1.4191344193994925e-05	1.3957373898236569e-05	-3.8210639475619245e-06	198.93468857828128	-116.3452841815022	122.14634247279743	80.46870245543347	-185.10188028711747	203.72659050073545	248.05956309543942
-69.0	257.38636837403925	1.470883010767984e-05	1.4452085472973491e-05	-4.14767526128562e-06	199.65179603023867	-115.00182900322838	121.03059502151852	77.6281403659418	-186.0951262352431	206.51031956078836	251.0812661397131
-68.75	258.06872764364874	1.5126410624980431e-05	1.4840803608732535e-05	-4.3969521217872e-06	200.38490163248292	-114.36813800203949	120.50493942924037	76.03753495441825	-186.9787376501108	209.14773785467986	253.71995773783073
-68.5	258.74549558047954	1.544133387116868e-05	1.5118599586072505e-05	-4.542201387415143e-06	201.13277977854477	-114.05529114897566	120.24807558456163	75.02257426683697	-187.8738328293388	211.7968020459629	256.2254995985711
-68.25	259.45658589967553	1.5791415711802698e-05	1.542827999200526e-05	-4.688679767073053e-06	201.89684272328046	-113.84901740468653	119.82962405161653	73.96045004546211	-188.81150587164146	214.6106321752012	258.8212839827739
-68.0	260.23207813200935	1.6264202307296263e-05	1.5857550800659457e-05	-5.157180365605448e-06	202.6761150053636	-112.509029346063	118.6746175047235	71.02782514469051	-189.83060486173034	217.6414119174268	262.0140208829407
-67.75	261.0055979475267	1.6804013123690452e-05	1.6347897267146553e-05	-5.582793717796344e-06	203.47173350518614	-111.15537095044985	117.62941279780227	68.17642188121764	-190.8385424756411	220.69270562046148	265.17376807508094
-67.5	261.71253113427633	1.7379059482555506e-05	1.686639468283481e-05	-5.6780052968284925e-06	204.28678466635634	-110.71626646777817	117.23433582466247	66.86584243932519	-191.72404478300595	223.62510247534266	267.75491412547103
-67.25	262.36875513225743	1.802000272801807e-05	1.744095558167097e-05	-5.778056229076793e-06	205.11900314995788	-110.17422429722109	116.79773832548004	65.38467763319657	-192.51869227544609	226.50883074000163	270.21737905160364
-67.0	263.03785560782296	1.8707854718653834e-05	1.8048588164814813e-05	-6.148098232482018e-06	205.97374177127497	-108.86872224917347	115.82701638838822	62.57847570451532	-193.3419187053477	229.4624841699308	273.0857058370568
-66.75	263.7364878688586	1.9296941215834587e-05	1.854417199728729e-05	-6.8330498177425085e-06	206.8517424335622	-106.38008293557674	114.00466503997094	57.7171168066203	-194.28844030028688	232.5110904438006	276.50663695287716
-66.5	264.3287058542569	1.9687488614257283e-05	1.882950886174343e-05	-7.055948481618798e-06	207.76501319559316	-104.87131332079964	112.74498564268187	54.34593026467404	-195.08469617078478	235.3429092018522	279.1393759344459
-66.25	264.8078474257462	2.0037862547000528e-05	1.9076031013682987e-05	-7.16753896249863e-06	208.71029323653516	-104.17401284745691	112.01548542193882	52.24124116879403	-195.71388038006722	237.97810254561628	281.22076597129717
-66.0	265.318542250582	2.0599017960362832e-05	1.951930124990881e-05	-7.954899863523521e-06	209.6801792266743	-101.59679620653922	110.31866021165737	47.22110283778799	-196.4477175204379	240.7064798478569	284.2902457790629
-65.75	265.73631030609505	2.1077557625813805e-05	1.985737287209065e-05	-8.355396512181096e-06	210.67201718148607	-100.2538356279162	109.3040493995735	44.084078946429024	-197.00454746633216	243.16472948852913	286.5317788887511
-65.5	266.05772422153774	2.141676187426555e-05	2.004444550973734e-05	-8.258701418939342e-06	211.68111667237844	-100.53016976269738	108.9493751034614	43.25035534063134	-197.39837103967926	245.2999881847341	287.8056866195017
-65.25	266.37614491017536	2.1733447296478316e-05	2.0201154476306982e-05	-8.198323740748751e-06	212.70737548321202	-100.80403363290081	108.35143127670779	42.200360329884965	-197.80050737909025	247.31830340409596	289.10487746019027
-65.0	266.7448562001595	2.210552318133024e-05	2.0395080309625934e-05	-8.506854617340706e-06	213.74718305804433	-100.14563147009684	107.336979742131	39.79216026851221	-198.2739159449787	249.30202679327846	290.9504422850974
-64.75	267.1455772403248	2.2615965461718482e-05	2.0707192582523533e-05	-9.098209763394856e-06	214.8014459030279	-98.96115558333095	106.34391932028355	36.84415115729775	-198.77105718451162	251.18298735856476	293.1353761500587
-64.5	267.4462493711487	2.2789960132105648e-05	2.066650621274156e-05	-8.867660923579335e-06	215.86633315924757	-99.41679499190468	106.61625242575982	36.76205618025403	-199.0820357339809	252.6504876047854	294.0425807119424
-64.25	267.70142557477647	2.280570424730242e-05	2.0434949368225023e-05	-8.6432016892096e-06	216.9449722473034	-100.17282942444844	107.13787632675577	37.20437390988456	-199.33753085682093	253.98311733874903	294.6863596566097
-64.0	268.09123021258256	2.3108903551888094e-05	2.0464441659821606e-05	-9.293262598850134e-06	218.0331523005295	-98.50686650486266	106.06673151292149	33.625657076578506	-199.8750900603543	255.68534894295905	296.97530178277793
-63.75	268.4419206279082	2.3260833104404152e-05	2.0328880045488183e-05	-9.588953787561928e-06	219.1311611510825	-97.99250535261716	105.60158360436915	31.787280088448547	-200.33079591941674	257.2349986816661	298.63319968268945
-63.5	268.7245684855924	2.3267102414657612e-05	2.003343735779879e-05	-9.542917814316365e-06	220.23776621793982	-98.37130237185322	105.80950764178293	31.48409274270569	-200.6873426880728	258.5764224128009	299.6236426922176
-63.25	268.98951149963096	2.3248666283759897e-05	1.9691772104356933e-05	-9.501611273645794e-06	221.35323651382188	-98.67323654924414	106.17932436286695	31.233107581579755	-201.02706562802084	259.8077513516274	300.5366668387071
-63.0	269.2941386907059	2.3418127960920412e-05	1.9511821804049263e-05	-9.878255910920316e-06	222.4753400175813	-97.99512634880269	106.0957194668605	29.534704133629788	-201.44077441259765	261.0599931897835	302.0387953602775
-62.75	269.61891706132326	2.3790666205050335e-05	1.95111725416015e-05	-1.0542030130002707e-05	223.60450804618756	-96.72824487711203	105.61343152575017	26.869673231291532	-201.91157659254094	262.2915975482837	303.92369959271963
-62.5	269.85325039050554	2.384460725327199e-05	1.9199704481983773e-05	-1.0438598771161448e-05	224.7408050804997	-97.30510587063227	105.9969512522299	26.96841123678203	-202.24732391589947	263.1658312050172	304.57906953090907
-62.25	270.071585225473	2.3906865152512078e-05	1.8863137856932865e-05	-1.034507229101228e-05	225.88475901010213	-97.88900496104664	106.36570225651505	27.063483898691075	-202.58223686915758	263.9702364178034	305.20719486171186
-62.0	270.35443959594903	2.429185214037749e-05	1.882720698643221e-05	-1.0869220014936044e-05	227.03359546100998	-96.77297463800517	105.9059808334503	24.595535174515327	-203.02329110711864	264.9382696558734	306.7546494558755
-61.75	270.605475338435	2.4541572745362535e-05	1.8640030298906973e-05	-1.1162834906670239e-05	228.18787782345643	-96.34214407735037	106.00595373222313	23.334228834762417	-203.40864987069426	265.8244544025426	307.91879609854334
-61.5	270.81892297118077	2.4699246024141413e-05	1.8353941020069564e-05	-1.120914124587575e-05	229.34648790844156	-96.58059902201704	106.53146658524747	23.153366886617178	-203.74427200922705	266.6042812780454	308.6739100726969
-61.25	271.01948437021963	2.480593733656628e-05	1.8010831650332688e-05	-1.119985325912262e-05	230.51037508172715	-97.0885080190879	107.06239777480805	23.251777265245973	-204.07929132750812	267.32092290277285	309.30994689974324
-61.0	271.25310974497063	2.5124928647848675e-05	1.784844971683172e-05	-1.1587430648487356e-05	231.67947684424547	-96.50517890311625	106.87175369699828	21.54013515815919	-204.4933610056707	268.11865981359927	310.5194191592372
-60.75	271.4945910803425	2.5518837998075156e-05	1.774600552337515e-05	-1.2079405309678102e-05	232.85192719840805	-95.58671793246279	106.565664700047	19.373451353641986	-204.92159099930558	268.92419848318013	311.87351093150573
-60.5	271.68901802531286	2.566048453830068e-05	1.740315675838008e-05	-1.2091971896546281e-05	234.02679907953933	-96.00514258021278	107.20119075138331	19.47835472243706	-205.2494858432214	269.57121300824485	312.49803500693497
-60.25	271.88025059728153	2.583297026442535e-05	1.7064542109340146e-05	-1.2150187147124655e-05	235.2065994686135	-96.21257687965115	107.85487568207532	19.384085125724052	-205.5745184565477	270.2170216045272	313.17774194228315
-60.0	272.0924948834896	2.6169999390310518e-05	1.6860741850139158e-05	-1.2495046367927682e-05	236.38898240678787	-95.45035754783494	107.95491026158881	17.770999999280438	-205.95305637091298	270.9249375096612	314.26481853690865
-59.75	272.303669768233	2.6476452220858716e-05	1.663447049392097e-05	-1.2828844232166646e-05	237.57506209241362	-95.28147393952483	108.04367852838823	16.7734808998381	-206.35648257350283	271.57161286214466	315.28196635588495
